Receipt_Location,Delivery_Location,Cycle,Start_Gas_Day,End_Gas_Day,Daily_Equivalent_FT,Load_Factor,Bid_Floor
Centrat MDA,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.9447,295,2.7869
Centrat MDA,Union SSMDA,Timely,2020-11-01,9999-12-31,0.6467,295,1.9078
Centrat MDA,Union SWDA,Timely,2020-11-01,9999-12-31,0.8502,295,2.5081
Centrat MDA,Union WDA,Timely,2020-11-01,9999-12-31,0.2988,295,0.8815
Centrat MDA,Welwyn,Timely,2020-11-01,9999-12-31,0.2480,295,0.7316
Chippawa,Centram MDA,Timely,2020-11-01,9999-12-31,1.0760,295,3.1742
Chippawa,Centram SSDA,Timely,2020-11-01,9999-12-31,1.2073,295,3.5615
Chippawa,Centrat MDA,Timely,2020-11-01,9999-12-31,1.0755,295,3.1727
Chippawa,Chippawa,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
Chippawa,Cornwall,Timely,2020-11-01,9999-12-31,0.3769,295,1.1119
Chippawa,Dawn Export,Timely,2020-11-01,9999-12-31,0.2294,295,0.6767
Chippawa,East Hereford,Timely,2020-11-01,9999-12-31,0.5509,295,1.6252
Chippawa,Emerson 1,Timely,2020-11-01,9999-12-31,1.0062,295,2.9683
Chippawa,Emerson 2,Timely,2020-11-01,9999-12-31,1.0062,295,2.9683
Chippawa,Empress,Timely,2020-11-01,9999-12-31,1.5061,295,4.4430
Chippawa,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.1694,295,0.4997
Chippawa,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.3724,295,1.0986
Chippawa,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.1477,295,0.4357
Chippawa,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.2294,295,0.6767
Chippawa,Energir EDA,Timely,2020-11-01,9999-12-31,0.4595,295,1.3555
Chippawa,Energir NDA,Timely,2020-11-01,9999-12-31,0.3922,295,1.1570
Chippawa,Iroquois,Timely,2020-11-01,9999-12-31,0.3562,295,1.0508
Chippawa,KPUC EDA,Timely,2020-11-01,9999-12-31,0.2961,295,0.8735
Chippawa,Kirkwall,Timely,2020-11-01,9999-12-31,0.1373,295,0.4050
Chippawa,Napierville,Timely,2020-11-01,9999-12-31,0.4520,295,1.3334
Chippawa,Niagara Falls,Timely,2020-11-01,9999-12-31,0.1006,295,0.2968
Chippawa,North Bay Junction,Timely,2020-11-01,9999-12-31,0.3233,295,0.9537
Chippawa,Philipsburg,Timely,2020-11-01,9999-12-31,0.4605,295,1.3585
Chippawa,Spruce,Timely,2020-11-01,9999-12-31,1.0755,295,3.1727
Chippawa,St. Clair,Timely,2020-11-01,9999-12-31,0.2411,295,0.7112
Chippawa,TCPL NDA,Timely,2020-11-01,9999-12-31,0.4868,295,1.4361
Chippawa,TCPL WDA,Timely,2020-11-01,9999-12-31,0.7756,295,2.2880
Chippawa,TPLP NDA,Timely,2020-11-01,9999-12-31,0.6140,295,1.8113
Chippawa,Transgas SSDA,Timely,2020-11-01,9999-12-31,1.2942,295,3.8179
Chippawa,Union CDA,Timely,2020-11-01,9999-12-31,0.1212,295,0.3575
Chippawa,Union ECDA,Timely,2020-11-01,9999-12-31,0.1420,295,0.4189
Chippawa,Union EDA,Timely,2020-11-01,9999-12-31,0.3053,295,0.9006
Chippawa,Union NCDA,Timely,2020-11-01,9999-12-31,0.2376,295,0.7009
Chippawa,Union NDA,Timely,2020-11-01,9999-12-31,0.4080,295,1.2036
Chippawa,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.1477,295,0.4357
Chippawa,Union SSMDA,Timely,2020-11-01,9999-12-31,0.5267,295,1.5538
Chippawa,Union SWDA,Timely,2020-11-01,9999-12-31,0.2312,295,0.6820
Chippawa,Union WDA,Timely,2020-11-01,9999-12-31,0.8685,295,2.5621
Chippawa,Welwyn,Timely,2020-11-01,9999-12-31,1.2073,295,3.5615
Cornwall,Centram MDA,Timely,2020-11-01,9999-12-31,1.1402,295,3.3636
Cornwall,Centram SSDA,Timely,2020-11-01,9999-12-31,1.2708,295,3.7489
Cornwall,Centrat MDA,Timely,2020-11-01,9999-12-31,1.0800,295,3.1860
Cornwall,Chippawa,Timely,2020-11-01,9999-12-31,0.3769,295,1.1119
Cornwall,Cornwall,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
Cornwall,Dawn Export,Timely,2020-11-01,9999-12-31,0.4218,295,1.2443
Cornwall,East Hereford,Timely,2020-11-01,9999-12-31,0.2557,295,0.7543
Cornwall,Emerson 1,Timely,2020-11-01,9999-12-31,1.1493,295,3.3904
Cornwall,Emerson 2,Timely,2020-11-01,9999-12-31,1.1493,295,3.3904
Cornwall,Empress,Timely,2020-11-01,9999-12-31,1.5696,295,4.6303
Cornwall,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.2965,295,0.8747
Cornwall,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.1431,295,0.4221
Cornwall,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.3109,295,0.9172
Cornwall,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.4218,295,1.2443
Cornwall,Energir EDA,Timely,2020-11-01,9999-12-31,0.1642,295,0.4844
Cornwall,Energir NDA,Timely,2020-11-01,9999-12-31,0.3774,295,1.1133
Cornwall,Iroquois,Timely,2020-11-01,9999-12-31,0.1069,295,0.3154
Cornwall,KPUC EDA,Timely,2020-11-01,9999-12-31,0.1625,295,0.4794
Cornwall,Kirkwall,Timely,2020-11-01,9999-12-31,0.3296,295,0.9723
Cornwall,Napierville,Timely,2020-11-01,9999-12-31,0.1567,295,0.4623
Cornwall,Niagara Falls,Timely,2020-11-01,9999-12-31,0.3758,295,1.1086
Cornwall,North Bay Junction,Timely,2020-11-01,9999-12-31,0.3084,295,0.9098
Cornwall,Philipsburg,Timely,2020-11-01,9999-12-31,0.1653,295,0.4876
Cornwall,Spruce,Timely,2020-11-01,9999-12-31,1.0800,295,3.1860
Cornwall,St. Clair,Timely,2020-11-01,9999-12-31,0.4334,295,1.2785
Cornwall,TCPL NDA,Timely,2020-11-01,9999-12-31,0.4719,295,1.3921
Cornwall,TCPL WDA,Timely,2020-11-01,9999-12-31,0.7607,295,2.2441
Cornwall,TPLP NDA,Timely,2020-11-01,9999-12-31,0.5991,295,1.7673
Cornwall,Transgas SSDA,Timely,2020-11-01,9999-12-31,1.3577,295,4.0052
Cornwall,Union CDA,Timely,2020-11-01,9999-12-31,0.3407,295,1.0051
Cornwall,Union ECDA,Timely,2020-11-01,9999-12-31,0.3166,295,0.9340
Cornwall,Union EDA,Timely,2020-11-01,9999-12-31,0.1542,295,0.4549
Cornwall,Union NCDA,Timely,2020-11-01,9999-12-31,0.3493,295,1.0304
Cornwall,Union NDA,Timely,2020-11-01,9999-12-31,0.3935,295,1.1608
Cornwall,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.3109,295,0.9172
Cornwall,Union SSMDA,Timely,2020-11-01,9999-12-31,0.7190,295,2.1211
Cornwall,Union SWDA,Timely,2020-11-01,9999-12-31,0.4235,295,1.2493
Cornwall,Union WDA,Timely,2020-11-01,9999-12-31,0.8536,295,2.5181
Cornwall,Welwyn,Timely,2020-11-01,9999-12-31,1.2708,295,3.7489
East Hereford,Centram MDA,Timely,2020-11-01,9999-12-31,1.3143,295,3.8772
East Hereford,Centram SSDA,Timely,2020-11-01,9999-12-31,1.4449,295,4.2625
East Hereford,Centrat MDA,Timely,2020-11-01,9999-12-31,1.2540,295,3.6993
East Hereford,Chippawa,Timely,2020-11-01,9999-12-31,0.5509,295,1.6252
East Hereford,Cornwall,Timely,2020-11-01,9999-12-31,0.2557,295,0.7543
East Hereford,Dawn Export,Timely,2020-11-01,9999-12-31,0.5958,295,1.7576
East Hereford,East Hereford,Timely,2020-11-01,9999-12-31,0.0817,295,0.2410
East Hereford,Emerson 1,Timely,2020-11-01,9999-12-31,1.3233,295,3.9037
East Hereford,Emerson 2,Timely,2020-11-01,9999-12-31,1.3233,295,3.9037
East Hereford,Empress,Timely,2020-11-01,9999-12-31,1.7436,295,5.1436
East Hereford,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.4705,295,1.3880
East Hereford,Enbridge EDA,Timely,2020-11-01,9999-12-31,0.3165,295,0.9337
East Hereford,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.4849,295,1.4305
East Hereford,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.5958,295,1.7576
East Hereford,Energir EDA,Timely,2020-11-01,9999-12-31,0.2281,295,0.6729
East Hereford,Energir NDA,Timely,2020-11-01,9999-12-31,0.5514,295,1.6266
East Hereford,Iroquois,Timely,2020-11-01,9999-12-31,0.2809,295,0.8287
East Hereford,KPUC EDA,Timely,2020-11-01,9999-12-31,0.3365,295,0.9927
East Hereford,Kirkwall,Timely,2020-11-01,9999-12-31,0.5036,295,1.4856
East Hereford,Napierville,Timely,2020-11-01,9999-12-31,0.2717,295,0.8015
East Hereford,Niagara Falls,Timely,2020-11-01,9999-12-31,0.5498,295,1.6219
East Hereford,North Bay Junction,Timely,2020-11-01,9999-12-31,0.4824,295,1.4231
